ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,os_log_10_HL
Q8R2Y2,ctrl,3.284886478,0.516520365,Q9JKL4,iso,8.92667234,0.950689594
P22892,ctrl,3.282988356,0.516269342,Q9CPU0,iso,8.951284366,0.951885354
P10605,ctrl,3.281092426,0.516018464,P82347,iso,9.018895069,0.955153334
P11983,ctrl,3.277307129,0.515517143,Q3UJU9,iso,9.03323447,0.955843283
Q8BRF7,ctrl,3.275417754,0.515266699,P17751,iso,9.054829269,0.956880266
O70194,ctrl,3.271645532,0.514766244,P49442,iso,9.062050498,0.957226478
P22599,ctrl,3.267881988,0.514266365,Q62000,iso,9.062050498,0.957226478
P70698,ctrl,3.260365481,0.513266286,Q8K2M0,iso,9.10562091,0.959309566
Q80XL6,ctrl,3.25663548,0.51276915,P48678,iso,9.142250924,0.961053137
Q8BH04,ctrl,3.249178177,0.511773528,P62270,iso,9.171767811,0.962453052
Q80TV8,ctrl,3.245466117,0.511277079,Q9D7J4,iso,9.190373776,0.963333175
Q9QUR7,ctrl,3.239906332,0.510532455,Q8R1G2,iso,9.201475913,0.963857494
Q8BTX9,ctrl,3.231613578,0.509419424,P61255,iso,9.208933034,0.964209315
P17426,ctrl,3.223355673,0.508308229,O55111,iso,9.246524026,0.965978502
Q9D0R2,ctrl,3.223355673,0.508308229,Q9Z1J3,iso,9.254054372,0.966332047
O88712,ctrl,3.212420485,0.506832387,O88696,iso,9.265372916,0.966862904
Q78PY7,ctrl,3.212420485,0.506832387,Q64105,iso,9.276719182,0.96739441
Q61166,ctrl,3.20696583,0.506094333,P54320,iso,9.28429881,0.96774911
Q9JLV1,ctrl,3.205164076,0.505850266,P49817,iso,9.291890834,0.968104099
P40240,ctrl,3.205156666,0.505849262,Q3UV70,iso,9.318560979,0.969348851
Q9D1P4,ctrl,3.194344402,0.504381738,O09131,iso,9.322383502,0.969526965
P53994,ctrl,3.190756507,0.503893664,Q9D8E6,iso,9.326209164,0.969705151
Q71FD7,ctrl,3.188063539,0.503526968,Q3UDE2,iso,9.345384664,0.970597182
Q9QZH6,ctrl,3.18359022,0.502917162,P47964,iso,9.360781933,0.971312128
Q61699,ctrl,3.180033723,0.502431726,P55292,iso,9.360781933,0.971312128
Q8VHL1,ctrl,3.180026428,0.502430729,Q9R1P4,iso,9.360781933,0.971312128
Q6P549,ctrl,3.176470607,0.501944841,Q01730,iso,9.368562921,0.971672978
Q99M01,ctrl,3.172922729,0.501459496,Q9CQ60,iso,9.415074239,0.973823749
Q9JK92,ctrl,3.172922729,0.501459496,Q99N85,iso,9.446510856,0.975271428
Q9CQC9,ctrl,3.17115176,0.501217026,Q91WK1,iso,9.454306123,0.97562966
Q6P4T2,ctrl,3.166725741,0.500610452,Q9CY64,iso,9.470129392,0.976355913
Q5SVR0,ctrl,3.165850696,0.500490429,Q8VCR7,iso,9.477963704,0.976715041
