mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
DBA,10.54264348,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,23.32179875,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,20.65920095,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,8.602082187,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,10.24312549,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,24.85289281,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,19.7438454,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,22.30275043,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
DBA,19.35678686,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,15.44686517,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,25.46556378,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,28.5198807,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,24.17842823,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,19.48958753,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,7.278893387,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,18.51255757,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,6.996398383,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,20.67799829,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,20.34479544,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,20.71136285,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,19.52279797,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,20.68787287,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,4.444476237,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,5.135907266,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,3.344869059,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,14.46316496,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,7.340017161,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,24.78535295,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,25.68162951,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,9.376230021,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,10.7624865,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,28.66376563,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,22.34661102,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,18.34062341,ISO,,,,,,,,,,,,,,,,,,,,,,,
DBA,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,24.43842966,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,10.12884399,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,18.98461232,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,7.820242349,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,16.44223739,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,16.64698546,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
